Column1;Date;EMP;EMP_PART;EMP_TEMP;UNEMP_RATE;UNEMP_DURA_6mth;UNEMP_DURA_6.12mth;UNEMP_DURA_12mth.;UNEMP_DURA_24mth.;EMP_RATE;EMP_ACT;EMP_ACT_RATE;CLAIMS;CLAIMS_RATE;TOT_WEEK_HRS;AVG_WEEK_HRS;AVG_WEEK_HRS_FULL;AWE_ALL;AWE_CONS;AWE_MANU;AWE_PRIV;AWE_PUB;AWE_SERV;VAC_TOT;VAC_CONS;VAC_MANU;IOP_PROD;IOP_CAP_GOOD;IOP_DUR;IOP_ENER;IOP_GOOD;IOP_INT_GOOD;IOP_MACH;IOP_MANU;IOP_MINE;IOP_NON_DUR;IOP_PETRO;IOP_OIL_EXTRACT;IOS;IOS_45;IOS_46;IOS_47;IOS_G;IOS_EDUC;IOS_PNDS;RSI;CAR_REGIS;RETAIL_TRADE_INDEX;AVG_WEEK_RETAIL_SALE;AVG_WEEK_RETAIL_SALE_NON_FOOD;CPIH_ALL;CPI_ALL;CPI_EX_ENER;CPI_GOOD;CPI_DUR;CPI_NON_DUR;CPI_SERV;CPI_CLOTH;CPI_TRANS;RPI_ALL;RPI_GOOD;RPI_SERV;RPI_HOUSE;EXP_TOT;EXP_GOOD;IMP_ALL;IMP_GOOD;EXP_FUEL;IMP_FUEL;EXP_OIL;IMP_OIL;EXP_MACH;IMP_MACH;EXP_METAL;IMP_METAL;EXP_CRUDE_MAT;IMP_CRUDE_MAT;GBP_BROAD;GBP_CAN;GBP_EUR;GBP_JAP;GBP_US;OIL_PRICE;BANK_RATE;CONS_CREDIT_ex_student_loan;TOT_LENDING_APP;TOT_HOUSE_APP;MORT_FIXED_RATE_5YRS;MORT_FIXED_RATE_2YRS;M1;M2;M3;M4;LIBOR_3mth;BGS_5yrs_yld;BGS_10yrs_yld;BGS_20yrs_yld;FTSE_ALL;FTSE250;VIX;SP500;UK_focused_equity;EUR_UNC_INDEX;BCI;CCI;CLI;PPI_MANU;PPI_MACH;PPI_OIL;PPI_METAL;PPI_MOTOR
1;01.01.1998;9,75793E+14;2,55582E+14;2,28311E+14;0;5,24385E+14;7,11747E+14;-2,05487E+13;-3,64697E+14;0;9,995E+14;0;-7,11494E+14;-1E+14;-7,94777E+14;-3,01659E+14;-2,59404E+14;2,60184E+14;4,37538E+14;7,54655E+13;1,64033E+14;3,97671E+14;1,8802E+14;-1,26716E+14;-6,4408E+13;-4,78255E+14;0;-3,8241E+14;-1,91944E+14;-8,47912E+14;-2,21663E+14;2,0807E+14;3,5482E+14;-1,46735E+13;1,81703E+14;-2,32269E+14;-2,38046E+14;2,12593E+14;-4,89797E+14;-4,21223E+14;-5,92073E+14;1,16077E+14;-2,67022E+14;-1,10363E+14;1,91022E+13;1,63532E+14;5,81852E+14;3,36707E+14;7,81065E+14;2,74602E+14;6,75499E+14;1,01605E+14;1,28504E+14;-2,30927E+14;-6,79602E+14;2,05317E+14;3,25937E+14;-4,23166E+13;3,67269E+14;1,88446E+14;-4,52677E+14;3,14263E+14;5,24049E+14;-3,31708E+14;-5,61318E+14;-3,46459E+14;-5,33322E+14;1,16592E+14;-1,16447E+14;2,94294E+14;-1,65625E+14;-1,07229E+14;;4,7628E+13;-1,12987E+14;1,90482E+14;-1,03958E+14;1,04286E+14;-5,16578E+14;-8,63952E+14;-1,57644E+14;-1,48106E+14;-1,23438E+14;0;1,07657E+14;-3,0409E+13;-1,92593E+14;-9E+14;0;7,25598E+14;2,50996E+14;8,2384E+14;1,20105E+14;-139;-2892;-2761;-6,856E+14;5,08145E+14;1,53178E+14;2146999931;1,0099E+14;5,51864E+14;-1582274;-3,057E+14;-1,707E+14;-2,6E+14;-5,33314E+14;1,05852E+12;-2,67942E+14;0;2,10748E+14
2;01.02.1998;7,12478E+14;2,5493E+14;-6,86502E+14;0;6,25654E+14;-4,34851E+14;5,17689E+13;1,69976E+14;1E+15;6,06352E+14;1E+14;-1,42387E+14;0;4,19383E+14;3,01659E+14;2,59404E+14;3,70886E+14;-3,12495E+14;3,49972E+13;2,66422E+14;-6,64302E+14;3,9423E+14;6,82918E+14;1,36943E+14;-3,87238E+14;9,33496E+14;2,83305E+14;8,53951E+14;0;2,04785E+14;1,28617E+14;1,29034E+14;1,02265E+14;-3,10082E+14;-5,23561E+14;-1,65378E+14;-3,22781E+14;8,15E+13;-3,15292E+14;5,31375E+14;0;1,78804E+14;7,37104E+14;5,70886E+14;0;-4,75807E+14;1,67929E+14;-2,22197E+14;-2,9379E+14;1,67801E+14;1,29594E+13;1,54927E+14;7,96218E+14;-1,8596E+14;8,24051E+14;3,20962E+14;-3,59128E+14;7,25186E+13;2,76687E+14;2,98893E+14;2,96892E+14;4,71509E+14;7,18934E+14;8,39757E+14;4,74564E+14;6,04538E+14;-4,39107E+12;1,34252E+14;-3,49427E+14;3,07676E+14;3,75357E+14;5,53458E+14;-1,1696E+14;7,37662E+14;-1,26584E+14;2,39156E+14;-3,53524E+14;-1,10436E+12;-7,40712E+14;-2,58076E+14;3,29671E+13;-7,64087E+14;0;1,33969E+14;7,48641E+14;8,33759E+14;-1,6E+14;-5E+14;1,0019E+14;4,8389E+14;8,13678E+14;7,75099E+14;-366;-8,52E+14;-5,17E+14;-1,13833E+14;5,62285E+14;6,75039E+14;1854999924;6,80784E+14;6,49579E+14;-357956;-2,541E+14;-4E+14;-3,26E+14;-4,39129E+14;3,24862E+14;-1,49919E+14;1,3541E+14;1,05208E+14
3;01.03.1998;1,12393E+14;3,14019E+14;-5,74218E+14;-1E+14;7,25016E+14;-5,32445E+14;-1,21214E+13;-8,46267E+13;0;1,42618E+14;0;-1,15095E+14;-1E+15;2,0339E+14;0;2,58732E+14;4,5864E+14;2,35594E+14;2,62601E+14;3,45748E+14;1,84777E+14;4,5947E+14;7,60595E+14;6,8515E+14;-4,97888E+14;6,94447E+14;2,21003E+14;2,11275E+14;1,84556E+13;6,73403E+14;-2,574E+14;2,0762E+14;7,24116E+14;4,83352E+14;0;9,10851E+14;1,14484E+14;-4,88203E+14;-6,9745E+14;-4,99324E+14;-3,48635E+14;-2,82432E+14;1,22324E+14;-1,89934E+14;-3,27333E+14;3,23281E+14;0;-1,69936E+13;5,09889E+14;1,44644E+14;1,13673E+14;9,16451E+14;-5,40301E+14;-6,99311E+14;2,59204E+13;3,40241E+14;-3,60076E+14;-7,78372E+13;2,04401E+14;-4,76204E+14;2,80933E+14;6,93646E+14;1,46852E+14;1,87539E+14;3,50203E+14;4,43649E+14;-3,37094E+13;7,60269E+14;-2,28893E+14;-8,10102E+14;4,07729E+14;1,16175E+13;2,32569E+13;-1,07833E+14;3,17965E+14;7,43498E+14;1,70335E+13;8,9208E+14;-2,58239E+14;3,89223E+14;1,28987E+14;-7,11544E+14;0;2,691E+14;-4,09567E+14;-4,08874E+14;-9E+14;-6E+14;1,72938E+14;5,88497E+14;2,57682E+14;7,1452E+14;2,29E+14;-3,9E+14;-541;-4,39381E+14;3,59632E+14;6,05047E+14;2421999931;4,87385E+14;7,56791E+14;363967;-3,893E+14;8,61E+14;-7,14E+13;-2,81588E+14;-1,37376E+14;-2,65428E+14;-4,0678E+14;7,33372E+14
4;01.04.1998;3,74427E+13;2,83265E+14;-1,32988E+14;0;-1,03252E+14;-3,17487E+14;-6,99304E+14;2,24099E+13;0;-3,20919E+14;-1E+14;-4,03774E+13;0;-9,03444E+14;0;-2,58732E+14;2,11168E+14;4,438E+14;2,62013E+14;1,94281E+14;3,59927E+14;2,96049E+14;1,3401E+14;6,58273E+14;2,16706E+14;4,603E+14;-1,46792E+14;6,94447E+14;1,76079E+14;8,35427E+14;7,70222E+14;-2,19282E+14;1,44196E+14;5,34332E+13;1,0444E+14;1,69815E+14;1,47109E+14;9,74034E+14;4,52366E+14;7,54785E+13;-2,331E+14;3,20335E+14;1,22175E+13;7,57579E+14;-1,64069E+13;-7,28852E+14;1,67633E+14;1,71087E+14;-1,7706E+14;1,5956E+14;1,45414E+14;3,92105E+14;6,39224E+14;-5,27454E+14;3,02514E+14;2,53827E+14;-3,92415E+14;3,51358E+14;4,84059E+14;1,77684E+14;3,27199E+14;1,30988E+14;-1,41523E+14;-2,44132E+14;-3,59567E+14;-4,73656E+14;-7,69091E+14;-7,26712E+14;-1,72884E+14;5,75284E+14;-2,84329E+14;-8,8338E+14;-2,32569E+13;-1,09771E+14;2,50797E+14;-7,16419E+14;2,33976E+14;1,55466E+14;4,51522E+14;2,83698E+14;6,77603E+14;3,17958E+13;0;8,36498E+14;8,70049E+14;-4,46225E+14;-2,4E+14;12;1,41812E+13;3,61652E+14;6,30173E+14;3,26716E+14;-3,15E+14;-17;-1671;-5,0202E+14;2,63168E+14;1,53377E+14;2118000031;9,03553E+14;-8,78483E+13;-218087;-5,4755E+14;5,53E+14;-1,467E+14;-4,42957E+14;2,49256E+14;-6,41392E+13;-2,72109E+14;4,16667E+14
5;01.05.1998;2,24627E+14;1,1903E+14;-2,331E+14;0;1,02776E+14;1,60003E+14;-1,59155E+14;-1,11422E+14;0;1,42643E+14;0;-6,93883E+14;0;-1,13045E+14;0;0;6,0923E+14;7,76441E+14;2,41959E+14;3,12296E+14;4,25731E+14;5,82303E+14;-2,67415E+14;-1,87377E+13;-5,3363E+14;-8,06921E+13;5,52997E+14;2,05487E+14;-1,65635E+14;8,28505E+14;-1,8065E+14;-7,02579E+14;-4,33214E+14;-3,46991E+14;3,88853E+14;-4,67836E+14;-4,24179E+14;-1,61682E+14;4,30571E+14;-1,33108E+14;9,29159E+14;-4,11899E+14;1,22026E+14;7,51883E+14;1,14287E+14;1,26133E+14;1,00001E+14;1,28181E+14;2,21795E+14;2,05274E+14;1,67251E+14;3,82556E+13;2,28495E+14;-7,03608E+14;1,55788E+14;3,58906E+14;-3,39409E+14;1,64175E+14;4,07963E+14;3,73693E+14;2,70709E+14;7,77188E+14;-2,63426E+14;-8,91382E+14;1,11791E+13;1,27303E+14;2,76643E+14;-1,57506E+14;1,01684E+14;-3,12445E+14;-5,26993E+14;4,44149E+14;-6,06246E+14;2,13149E+14;-5,73405E+14;6,42069E+14;-2,89039E+14;-1,11404E+14;;4,56086E+14;-2,21768E+14;6,00159E+14;0;1,58319E+14;4,68921E+14;4,20882E+14;1E+15;-2E+14;1,11076E+14;4,3852E+14;1,04067E+14;3,82869E+14;-4,72E+14;2,04E+14;3,99E+14;1,88448E+14;4,71814E+14;5,04963E+14;2131999969;-1,90057E+14;-4,20482E+14;138466;-6,5841E+14;-1,509E+14;-2376;6,2768E+14;3,17789E+14;-8,51351E+12;-4,09557E+14;0
6;01.06.1998;2,09408E+13;-3,7244E+14;-5,26471E+14;0;2,92212E+14;0;-3,63016E+14;-4,87902E+14;1E+14;2,4574E+14;2E+14;-4,30555E+14;-1E+15;5,65387E+14;-3,01659E+14;-5,19482E+13;-3,6886E+14;-4,0277E+14;2,1248E+14;3,71106E+14;1,1547E+14;-3,08844E+14;7,60101E+14;1,36231E+14;-1,33819E+13;3,46621E+14;5,49956E+14;-3,09835E+14;1,34787E+14;-1,16184E+14;6,48932E+14;2,43773E+14;5,77202E+14;-5,09316E+14;-5,18808E+14;2,63234E+14;5,72217E+14;0;-1,73352E+14;9,83871E+14;-1,5143E+14;2,33777E+14;-1,22026E+14;-5,63382E+14;-1,47182E+13;6,181E+14;-1,50378E+14;-1,36789E+14;-3,34912E+14;-1,65202E+14;5,09839E+14;-3,36709E+14;-2,12654E+14;-4,37543E+14;2,59321E+13;2,02457E+14;-4,02261E+14;-2,68907E+14;6,34026E+14;;2,56826E+14;2,05411E+14;1,3366E+14;1,3906E+14;3,72077E+14;4,51893E+14;;3,40665E+14;1,20323E+14;6,35146E+14;-8,8454E+14;5,07258E+14;-7,79615E+13;2,64333E+13;-5,04309E+14;4,61807E+12;2,1997E+14;2,21167E+14;1,14049E+13;4,72394E+14;8,57852E+14;-1,62709E+14;2159;1,13988E+14;2,30822E+14;1,23493E+14;-8E+14;-18;7,42494E+14;2,55189E+14;6,20135E+14;1,01449E+14;2259;1112;-9,05E+14;-7,69854E+14;-2,11778E+14;-6,97509E+14;1970999908;3,86804E+14;3,02138E+14;-2056089;-59299;-4,412E+14;-3,228E+14;-1,44399E+14;;-6,12694E+14;-5,48698E+14;0
7;01.07.1998;2,01515E+14;-8,95924E+14;1,68658E+14;0;9,92556E+14;6,15579E+14;-1,86573E+14;-2,08031E+14;2E+14;2,55782E+14;1E+14;-1,48798E+14;0;9,03955E+14;0;0;1,85826E+14;7,19159E+14;1,91846E+14;1,88986E+14;4,47788E+14;2,15511E+14;2,28751E+14;6,88987E+14;8,45083E+14;-3,46621E+14;1,63195E+14;6,10359E+13;-1,8187E+14;9,96686E+14;-7,79225E+14;-1,9688E+14;1,43781E+13;-3,69551E+14;-9,14441E+14;-7,91695E+14;-4,16412E+14;4,84262E+14;2,37592E+14;2,278E+14;5,85139E+14;1,52869E+14;0;3,7594E+14;9,83614E+14;-3,81148E+14;6,71141E+14;1,11779E+14;2,05298E+14;2,13639E+14;1,3058E+13;4,04936E+14;;-2,1303E+13;1,41741E+13;3,20359E+14;-5,08277E+14;-3,27103E+14;2,48773E+14;7,95371E+14;2,16159E+14;9,22099E+14;-3,95426E+14;-5,55986E+14;-1,73949E+14;-2,49887E+14;-4,57324E+14;-2,43129E+14;-7,4431E+14;-4,21792E+14;-4,10144E+14;-5,46238E+14;1,02654E+14;-2,19789E+14;4,71468E+14;-8,93895E+14;-8,10304E+14;;5,03696E+14;-1,15043E+14;-4,24964E+13;-1,04415E+14;3,41E+14;1,06776E+14;2,76178E+14;-5,00277E+14;19;14;-3,24927E+14;7,9979E+13;1,30943E+14;1,70126E+14;9,22E+14;8,41E+14;5,76E+14;;-3,19084E+14;-3,84101E+14;2479999924;-1,16833E+14;-3,02138E+14;2538418;-5,3629E+14;-5,476E+14;-3,6415E+14;7,66714E+14;-3,77438E+13;-1,29659E+14;-9,67527E+14;0
8;01.08.1998;3,72731E+14;-1,49399E+14;6,32368E+14;-1E+15;-1,29807E+14;-7,49067E+14;-1,13638E+14;-1,81823E+14;0;-1,77415E+14;0;-2,45838E+14;0;2,48167E+14;0;2,60078E+14;7,65838E+13;1,12104E+14;2,43079E+14;3,30817E+14;6,97718E+13;1,56955E+14;-7,22985E+14;-1,49754E+13;-1,37716E+14;5,77036E+14;-3,60361E+14;9,82005E+14;1,87018E+14;1,15038E+14;1,30293E+14;6,99304E+14;1,43575E+14;1,57701E+14;1,0444E+14;-1,0937E+14;2,88805E+14;1,60901E+14;2,73701E+14;-6,83496E+12;3,49447E+14;-1,91454E+14;0;7,47667E+14;6,50409E+14;-3,41035E+13;3,33896E+14;8,61403E+14;1,77944E+14;;8,79677E+14;2,48781E+14;;-4,74021E+14;2,13541E+14;2,0925E+13;-4,09682E+14;;2,8141E+14;2,52808E+14;2,81155E+14;4,51243E+14;-1,77567E+14;-2,8432E+14;-2,42322E+14;-3,21931E+14;-2,49469E+14;;-3,38585E+14;-2,58283E+14;-1,52948E+14;-1,98873E+13;-2,46926E+14;1,78611E+14;1,95446E+14;8,70114E+14;-3,72745E+14;2,35086E+14;1,3008E+14;2,17459E+14;-7,14354E+14;-1,38014E+14;0;1,19842E+14;-1,97855E+13;-1,54355E+14;1E+15;25;3,41083E+14;3,99392E+14;2,15138E+14;-6,55909E+14;-7,8E+14;-3226;-2613;2,20669E+14;-1,13687E+14;-1,35861E+14;4427999878;-1,57586E+14;-1,52108E+14;44568;-6,657E+14;-3,914E+14;-3,2675E+13;-4,1949E+14;-1,70052E+14;-5,10586E+14;0;1,03896E+13
9;01.09.1998;1,63837E+12;6,55252E+14;-5,74714E+14;0;0;1,49257E+14;-1,72915E+14;-6,13499E+14;0;1,41844E+13;0;-1,01204E+14;0;6,75752E+14;0;0;2,38641E+14;4,19751E+14;2,13037E+14;3,47207E+14;1,68831E+14;1,57293E+14;-3,71138E+14;-1,63777E+14;-2,50877E+12;3,4463E+14;0;-6,53597E+14;7,69037E+13;0;9,0733E+14;8,09721E+11;2,86533E+14;6,83904E+14;3,88853E+14;-1,32966E+14;7,46352E+12;-1,60901E+14;-1,67543E+14;2,38296E+14;-4,66201E+14;3,85853E+13;0;-3,73135E+13;-3,24676E+13;5,67301E+14;-3,33896E+14;-4,07828E+14;-6,36413E+14;2,62538E+14;1,39506E+13;1,17273E+14;-2,5771E+14;-2,83801E+14;7,61704E+14;3,92933E+14;-3,55238E+14;3,66496E+14;1,97454E+14;5,89854E+14;3,3387E+14;4,17107E+14;3,14866E+14;7,61908E+14;3,55751E+14;4,80849E+14;1,64524E+14;-1,79578E+14;3,69757E+14;-3,92562E+14;-8,36592E+14;4,76512E+13;-1,4792E+14;7,86119E+14;-4,95969E+13;1,09281E+14;-5,02499E+14;2,34375E+14;;-4,38898E+14;3,02962E+14;1,13326E+14;0;1,08261E+14;-3,23626E+14;-4,27966E+14;-11;-6E+14;6,7532E+14;7,43498E+14;6,38167E+14;1,52295E+14;-2605;-5097;-4196;-1,22435E+14;-4,01336E+14;-5,18851E+14;4095000076;6,05263E+14;3,16371E+14;919454;-5,9928E+14;-1,01E+14;-2,1175E+14;-3,64085E+14;-1,40781E+14;-5,00532E+14;-5,57105E+14;1,03788E+14
10;01.10.1998;2,26694E+14;7,09957E+14;1,72761E+14;0;0;-2,24729E+13;-1,56253E+14;-2,8083E+13;2E+14;1,59334E+14;1E+15;-4,00136E+14;0;3,37705E+14;-3,02572E+14;0;-1,05032E+13;-6,38355E+14;8,06946E+13;7,86707E+14;-2,39232E+14;-2,13254E+14;-1,38606E+14;3,89813E+14;-1,12333E+14;0;1,25562E+14;6,53597E+14;1,16782E+14;0;-1,5605E+14;1,48659E+14;-1,43164E+14;-1,26202E+14;-3,88853E+14;4,36512E+14;-4,68485E+13;3,21544E+13;-1,81145E+13;-1,10498E+14;-1,05697E+14;-1,29201E+14;-1,22175E+13;9,30239E+13;-6,52531E+14;-5,12386E+14;-5,02929E+14;-4,98804E+13;-1,01918E+14;7,58689E+14;1,2743E+14;1,25762E+14;-1,58162E+14;-2,45519E+14;3,69581E+14;3,43474E+14;-4,56309E+14;1,84752E+14;2,23717E+14;7,40722E+13;2,63497E+14;5,56433E+14;-6,139E+14;2,00095E+14;-2,24484E+14;-2,64566E+14;-3,99077E+12;8,49541E+13;-1,80059E+14;2,00402E+14;1,39046E+14;-8,90308E+14;2,76753E+13;-1,16495E+14;4,63659E+14;-1,59322E+14;-2,2224E+14;2,22897E+14;-1,18997E+14;;7,69827E+14;-4,92591E+14;-1932;1,3001E+14;7,20335E+14;1,54215E+14;-27;-3,6E+14;1,52636E+14;5,53639E+14;3,57844E+14;3,23812E+14;-2492;-4,006E+14;-1396;-1,99694E+14;6,60202E+14;5,71363E+14;2804999924;7,72334E+14;5,38851E+14;-8535274;-5,36E+14;3,17E+14;-5,721E+14;-1,95476E+14;-1,1153E+14;2,43523E+14;-2,68948E+14;0
